iter	Passed	Remaining
0	146	14552
1	160	7840
2	174	5649
3	188	4515
4	196	3739
5	210	3291
6	224	2985
7	242	2785
8	258	2612
9	272	2454
10	282	2287
11	296	2175
12	306	2053
13	322	1980
14	338	1920
15	354	1860
16	368	1800
17	383	1747
18	399	1701
19	415	1663
20	430	1617
21	443	1571
22	459	1539
23	476	1508
24	489	1467
25	503	1432
26	516	1397
27	530	1364
28	547	1340
29	562	1312
30	570	1270
31	584	1242
32	598	1214
33	612	1188
34	625	1161
35	637	1134
36	650	1108
37	665	1085
38	678	1061
39	692	1038
40	706	1016
41	719	993
42	731	969
43	745	948
44	759	928
45	773	908
46	781	881
47	795	861
48	809	842
49	822	822
50	836	804
51	849	784
52	862	765
53	877	747
54	890	728
55	904	710
56	918	692
57	931	674
58	948	659
59	969	646
60	986	630
61	1003	614
62	1017	597
63	1034	581
64	1049	565
65	1063	547
66	1076	530
67	1091	513
68	1107	497
69	1122	481
70	1137	464
71	1151	447
72	1167	431
73	1182	415
74	1198	399
75	1212	382
76	1226	366
77	1239	349
78	1252	332
79	1265	316
80	1279	300
81	1293	283
82	1306	267
83	1320	251
84	1335	235
85	1349	219
86	1363	203
87	1377	187
88	1390	171
89	1402	155
90	1416	140
91	1432	124
92	1451	109
93	1468	93
94	1483	78
95	1500	62
96	1515	46
97	1530	31
98	1549	15
99	1564	0
